row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2024-01-01,SPY,,,,,,,0.00,,0,,,,,,,,,,0.3048,2023-12-29T18:49:00+00:00,139,524
summary,2024-01-01,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.3697,2023-12-29T18:49:00+00:00,117,518
summary,2024-01-01,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.2988,2023-12-29T20:28:00+00:00,33,543
summary,2024-01-01,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.7619,2023-12-29T18:49:00+00:00,146,555
summary,2024-01-01,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.4216,2023-12-29T19:24:00+00:00,183,464
summary,2024-01-02,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4159,2024-01-02T16:49:00+00:00,154,655
summary,2024-01-02,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.3856,2024-01-02T21:00:00+00:00,74,658
summary,2024-01-02,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6821,2024-01-02T10:21:00+00:00,120,636
summary,2024-01-02,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.6957,2024-01-02T16:46:00+00:00,266,618
summary,2024-01-02,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7736,2024-01-02T13:02:00+00:00,168,527
summary,2024-01-03,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4159,2024-01-02T16:49:00+00:00,371,1444
summary,2024-01-03,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.4025,2024-01-02T21:03:00+00:00,179,1490
summary,2024-01-03,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6821,2024-01-02T10:21:00+00:00,216,1436
trade,2024-01-03,NVDA,Long,2024-01-03T14:44:00+00:00,2024-01-03T15:56:00+00:00,480.6079,475.5223,0.60,-3.06,-0.010582,4320000,SessionClose,0.5301,0.0000,0.5682,0.7454,0.0869,0.1053,0.0510,-0.1655,,,
summary,2024-01-03,NVDA,,,,,,,-3.06,,1,,,,,,,,,,0.6957,2024-01-02T16:46:00+00:00,397,1377
trade,2024-01-03,MSFT,Long,2024-01-03T14:32:00+00:00,2024-01-03T15:56:00+00:00,370.7062,371.7684,0.81,0.86,0.002865,5040000,SessionClose,0.5248,0.2291,0.6186,0.5851,0.3729,0.4152,0.0758,0.4737,,,
summary,2024-01-03,MSFT,,,,,,,0.86,,1,,,,,,,,,,0.7736,2024-01-02T13:02:00+00:00,495,1134
summary,2024-01-04,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4159,2024-01-02T16:49:00+00:00,395,2253
summary,2024-01-04,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.4025,2024-01-02T21:03:00+00:00,179,2288
summary,2024-01-04,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6821,2024-01-02T10:21:00+00:00,216,2203
summary,2024-01-04,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.6957,2024-01-02T16:46:00+00:00,676,2068
summary,2024-01-04,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7736,2024-01-02T13:02:00+00:00,661,1690
summary,2024-01-05,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4678,2024-01-02T17:00:00+00:00,539,2805
summary,2024-01-05,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.3846,2024-01-02T16:46:00+00:00,238,2844
summary,2024-01-05,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.7542,2024-01-02T14:32:00+00:00,100,2729
summary,2024-01-05,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.6593,2024-01-03T14:48:00+00:00,1250,2556
trade,2024-01-05,MSFT,Long,2024-01-05T15:33:00+00:00,2024-01-05T15:34:00+00:00,371.6014,371.3436,0.81,-0.21,-0.000694,60000,ScoreExit,0.3646,0.3630,0.3470,0.4103,0.2788,0.3331,0.4103,0.2783,,,
summary,2024-01-05,MSFT,,,,,,,-0.21,,1,,,,,,,,,,0.6227,2024-01-03T14:48:00+00:00,755,2145
trade,2024-01-08,SPY,Long,2024-01-08T15:04:00+00:00,2024-01-08T15:05:00+00:00,469.8059,469.7540,0.64,-0.03,-0.000110,60000,ScoreExit,0.3713,0.3909,0.4580,0.3853,0.3143,0.5564,0.3853,0.3470,,,
trade,2024-01-08,SPY,Long,2024-01-08T15:54:00+00:00,2024-01-08T15:55:00+00:00,470.6962,470.2539,0.64,-0.28,-0.000940,60000,ScoreExit,0.1394,0.0923,-0.0261,0.0286,0.4163,-0.4369,0.0286,0.3960,,,
summary,2024-01-08,SPY,,,,,,,-0.32,,2,,,,,,,,,,0.7281,2024-01-05T15:52:00+00:00,608,1149
trade,2024-01-08,QQQ,Long,2024-01-08T14:31:00+00:00,2024-01-08T14:32:00+00:00,398.2544,398.4454,0.75,0.14,0.000480,60000,ScoreExit,0.3855,0.4185,0.4365,0.3979,0.3438,0.5420,0.3979,0.4185,,,
trade,2024-01-08,QQQ,Long,2024-01-08T14:35:00+00:00,2024-01-08T14:36:00+00:00,398.9246,398.8653,0.75,-0.04,-0.000149,60000,ScoreExit,0.4284,0.4682,0.5451,0.3979,0.4505,0.5659,0.4442,0.4838,,,
trade,2024-01-08,QQQ,Long,2024-01-08T14:38:00+00:00,2024-01-08T14:39:00+00:00,399.1147,398.8653,0.75,-0.19,-0.000625,60000,ScoreExit,0.4623,0.4592,0.5252,0.4442,0.4774,0.4922,0.4442,0.4781,,,
trade,2024-01-08,QQQ,Long,2024-01-08T14:41:00+00:00,2024-01-08T14:42:00+00:00,399.5648,399.2452,0.75,-0.24,-0.000800,60000,ScoreExit,0.4980,0.4898,0.5400,0.4630,0.5538,0.5084,0.4630,0.5371,,,
trade,2024-01-08,QQQ,Long,2024-01-08T14:44:00+00:00,2024-01-08T14:45:00+00:00,399.4548,399.4451,0.75,-0.01,-0.000024,60000,ScoreExit,0.4743,0.4985,0.3909,0.4630,0.5246,0.5457,0.4630,0.5538,,,
trade,2024-01-08,QQQ,Long,2024-01-08T14:49:00+00:00,2024-01-08T14:50:00+00:00,399.8149,399.5651,0.75,-0.19,-0.000625,60000,ScoreExit,0.4150,0.4120,0.2199,0.3781,0.5538,0.1901,0.3781,0.5538,,,
trade,2024-01-08,QQQ,Long,2024-01-08T14:52:00+00:00,2024-01-08T14:53:00+00:00,400.0450,399.6051,0.75,-0.33,-0.001100,60000,ScoreExit,0.5033,0.4634,0.4866,0.4809,0.5538,0.0871,0.4809,0.5538,,,
trade,2024-01-08,QQQ,Long,2024-01-08T14:55:00+00:00,2024-01-08T14:56:00+00:00,400.0750,399.6846,0.75,-0.29,-0.000976,60000,ScoreExit,0.5018,0.4957,0.4712,0.4809,0.5538,0.1530,0.5238,0.5538,,,
trade,2024-01-08,QQQ,Long,2024-01-08T14:58:00+00:00,2024-01-08T14:59:00+00:00,400.4751,400.3449,0.75,-0.10,-0.000325,60000,ScoreExit,0.5317,0.5333,0.5128,0.5238,0.5538,0.5286,0.5238,0.5538,,,
trade,2024-01-08,QQQ,Long,2024-01-08T15:01:00+00:00,2024-01-08T15:02:00+00:00,400.8052,400.3149,0.75,-0.37,-0.001223,60000,ScoreExit,0.5248,0.4907,0.4850,0.5358,0.5163,0.1440,0.5358,0.5163,,,
trade,2024-01-08,QQQ,Long,2024-01-08T15:04:00+00:00,2024-01-08T15:05:00+00:00,400.9753,400.9847,0.75,0.01,0.000023,60000,ScoreExit,0.5293,0.5334,0.5299,0.5358,0.5163,0.5706,0.5358,0.5163,,,
trade,2024-01-08,QQQ,Long,2024-01-08T15:07:00+00:00,2024-01-08T15:08:00+00:00,401.2053,400.9326,0.75,-0.20,-0.000680,60000,ScoreExit,0.4829,0.4824,0.5284,0.4587,0.5163,0.5229,0.4587,0.5163,,,
trade,2024-01-08,QQQ,Long,2024-01-08T15:10:00+00:00,2024-01-08T15:11:00+00:00,401.1653,400.9247,0.75,-0.18,-0.000600,60000,ScoreExit,0.4726,0.3664,0.4256,0.4587,0.5163,0.4194,0.2826,0.5163,,,
trade,2024-01-08,QQQ,Long,2024-01-08T15:13:00+00:00,2024-01-08T15:14:00+00:00,400.9853,400.6048,0.75,-0.28,-0.000949,60000,ScoreExit,0.2966,0.2871,-0.2782,0.2826,0.5163,-0.3740,0.2826,0.5163,,,
trade,2024-01-08,QQQ,Long,2024-01-08T15:16:00+00:00,2024-01-08T15:17:00+00:00,401.0903,400.7347,0.75,-0.27,-0.000886,60000,ScoreExit,0.3967,0.3613,0.2751,0.3573,0.5163,-0.0794,0.3573,0.5163,,,
trade,2024-01-08,QQQ,Long,2024-01-08T15:19:00+00:00,2024-01-08T15:20:00+00:00,400.9152,401.0047,0.75,0.07,0.000223,60000,ScoreExit,0.3383,0.4095,-0.3095,0.3573,0.5163,0.4025,0.3573,0.5163,,,
trade,2024-01-08,QQQ,Long,2024-01-08T15:22:00+00:00,2024-01-08T15:23:00+00:00,401.0703,400.8647,0.75,-0.15,-0.000513,60000,ScoreExit,0.2382,0.2582,-0.0840,0.1529,0.5163,0.1160,0.1529,0.5163,,,
trade,2024-01-08,QQQ,Long,2024-01-08T15:25:00+00:00,2024-01-08T15:26:00+00:00,401.0153,400.7847,0.75,-0.17,-0.000575,60000,ScoreExit,0.2289,0.2732,-0.1775,0.1529,0.5163,-0.0133,0.1995,0.5163,,,
trade,2024-01-08,QQQ,Long,2024-01-08T15:28:00+00:00,2024-01-08T15:29:00+00:00,401.1062,400.9456,0.75,-0.12,-0.000400,60000,ScoreExit,0.2925,0.3199,0.1790,0.1995,0.5163,0.4529,0.1995,0.5163,,,
trade,2024-01-08,QQQ,Long,2024-01-08T15:34:00+00:00,2024-01-08T15:35:00+00:00,401.3755,401.3046,0.75,-0.05,-0.000177,60000,ScoreExit,0.3015,0.3341,0.2223,0.2073,0.5163,0.5488,0.2073,0.5163,,,
trade,2024-01-08,QQQ,Long,2024-01-08T15:37:00+00:00,2024-01-08T15:38:00+00:00,401.4423,401.0247,0.75,-0.31,-0.001040,60000,ScoreExit,0.2034,0.1655,0.1799,0.0509,0.5163,-0.1993,0.0509,0.5163,,,
trade,2024-01-08,QQQ,Long,2024-01-08T15:40:00+00:00,2024-01-08T15:41:00+00:00,401.3554,401.2841,0.75,-0.05,-0.000178,60000,ScoreExit,0.1939,0.2465,0.0852,0.0509,0.5163,0.5089,0.0679,0.5163,,,
trade,2024-01-08,QQQ,Long,2024-01-08T15:43:00+00:00,2024-01-08T15:44:00+00:00,401.5454,401.1246,0.75,-0.31,-0.001048,60000,ScoreExit,0.2282,0.1714,0.3260,0.0679,0.5163,-0.2421,0.0679,0.5163,,,
trade,2024-01-08,QQQ,Long,2024-01-08T15:46:00+00:00,2024-01-08T15:47:00+00:00,401.5154,401.3246,0.75,-0.14,-0.000475,60000,ScoreExit,0.2765,0.2951,0.2354,0.1635,0.5163,0.4215,0.1635,0.5163,,,
trade,2024-01-08,QQQ,Long,2024-01-08T15:51:00+00:00,2024-01-08T15:52:00+00:00,401.7745,401.5295,0.75,-0.18,-0.000610,60000,ScoreExit,0.1876,0.1904,0.2999,0.0045,0.5163,0.3283,0.0045,0.5163,,,
