row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2023-01-02,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6460,2022-12-30T20:51:00+00:00,250,489
summary,2023-01-02,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.8888,2022-12-30T15:49:00+00:00,312,494
summary,2023-01-02,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.9585,2022-12-30T15:48:00+00:00,344,494
summary,2023-01-02,NVDA,,,,,,,0.00,,0,,,,,,,,,,1.0000,2022-12-30T14:34:00+00:00,343,460
summary,2023-01-02,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.8504,2022-12-30T15:49:00+00:00,254,444
summary,2023-01-03,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4810,2023-01-03T09:16:00+00:00,148,685
summary,2023-01-03,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.4967,2023-01-03T14:39:00+00:00,200,696
summary,2023-01-03,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5841,2023-01-03T09:04:00+00:00,95,655
trade,2023-01-03,NVDA,Long,2023-01-03T14:38:00+00:00,2023-01-03T14:46:00+00:00,148.4594,148.4771,2.02,0.04,0.000119,480000,ScoreExit,0.4297,-0.1691,0.3272,0.3620,0.5994,-0.3305,-0.2683,0.0831,,,
summary,2023-01-03,NVDA,,,,,,,0.04,,1,,,,,,,,,,0.8155,2023-01-03T09:36:00+00:00,133,610
summary,2023-01-03,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7629,2023-01-03T09:45:00+00:00,133,525
summary,2023-01-04,SPY,,,,,,,0.00,,0,,,,,,,,,,0.5030,2023-01-04T16:35:00+00:00,678,1493
summary,2023-01-04,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.5135,2023-01-04T16:35:00+00:00,759,1541
trade,2023-01-04,AAPL,Long,2023-01-04T14:30:00+00:00,2023-01-04T14:44:00+00:00,126.9331,126.4584,2.36,-1.12,-0.003739,840000,ScoreExit,0.3530,-0.0616,0.5180,0.3114,0.3810,-0.4441,-0.2192,0.3810,,,
trade,2023-01-04,AAPL,Long,2023-01-04T15:43:00+00:00,2023-01-04T15:56:00+00:00,126.3407,126.7982,2.37,1.09,0.003622,780000,SessionClose,0.3597,0.3929,0.5717,0.3024,0.4038,0.1847,0.4008,0.4465,,,
trade,2023-01-04,AAPL,Long,2023-01-04T15:58:00+00:00,2023-01-04T15:59:00+00:00,126.8828,126.7770,2.36,-0.25,-0.000834,60000,SessionClose,0.3952,0.3720,0.2074,0.4008,0.4465,-0.0238,0.4008,0.4465,,,
summary,2023-01-04,AAPL,,,,,,,-0.29,,3,,,,,,,,,,0.5841,2023-01-03T09:04:00+00:00,553,1528
trade,2023-01-04,NVDA,Long,2023-01-04T14:36:00+00:00,2023-01-04T14:44:00+00:00,146.6390,146.0612,2.05,-1.18,-0.003940,480000,ScoreExit,0.4698,-0.0807,0.5842,0.4667,0.4379,-0.3798,-0.2901,0.4379,,,
summary,2023-01-04,NVDA,,,,,,,-1.18,,1,,,,,,,,,,0.8155,2023-01-03T09:36:00+00:00,636,1270
summary,2023-01-04,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7629,2023-01-03T09:45:00+00:00,185,1238
summary,2023-01-05,SPY,,,,,,,0.00,,0,,,,,,,,,,0.5030,2023-01-04T16:35:00+00:00,1027,2362
summary,2023-01-05,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.5135,2023-01-04T16:35:00+00:00,1047,2434
trade,2023-01-05,AAPL,Long,2023-01-05T14:56:00+00:00,2023-01-05T15:31:00+00:00,127.0031,126.6769,2.36,-0.77,-0.002568,2100000,ScoreExit,0.3620,-0.0843,0.5987,0.3519,0.3032,-0.5023,-0.1322,0.1506,,,
summary,2023-01-05,AAPL,,,,,,,-0.77,,1,,,,,,,,,,0.5841,2023-01-03T09:04:00+00:00,1000,2416
summary,2023-01-05,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8155,2023-01-03T09:36:00+00:00,808,1952
summary,2023-01-05,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7629,2023-01-03T09:45:00+00:00,185,1971
trade,2023-01-06,SPY,Long,2023-01-06T15:36:00+00:00,2023-01-06T15:56:00+00:00,383.9501,385.0494,0.78,0.86,0.002863,1200000,SessionClose,0.4823,0.4315,0.5545,0.4736,0.4757,0.3581,0.4217,0.4757,,,
trade,2023-01-06,SPY,Long,2023-01-06T15:58:00+00:00,2023-01-06T15:59:00+00:00,385.3906,385.2344,0.78,-0.12,-0.000405,60000,SessionClose,0.4400,0.4476,0.4424,0.4217,0.4757,0.5193,0.4217,0.4757,,,
summary,2023-01-06,SPY,,,,,,,0.74,,2,,,,,,,,,,0.7856,2023-01-03T14:41:00+00:00,1303,2893
trade,2023-01-06,QQQ,Long,2023-01-06T15:36:00+00:00,2023-01-06T15:56:00+00:00,264.3943,265.2854,1.13,1.01,0.003370,1200000,SessionClose,0.4463,0.4520,0.5571,0.4622,0.3775,0.3194,0.4514,0.4976,,,
