row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2023-01-02,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6101,2022-12-30T20:51:00+00:00,248,489
summary,2023-01-02,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.8876,2022-12-30T15:49:00+00:00,312,494
summary,2023-01-02,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.9582,2022-12-30T15:48:00+00:00,342,494
summary,2023-01-02,NVDA,,,,,,,0.00,,0,,,,,,,,,,1.0000,2022-12-30T14:34:00+00:00,343,460
summary,2023-01-02,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.8492,2022-12-30T15:49:00+00:00,252,444
summary,2023-01-03,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4810,2023-01-03T09:16:00+00:00,148,685
summary,2023-01-03,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.4945,2023-01-03T14:39:00+00:00,194,696
summary,2023-01-03,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5841,2023-01-03T09:04:00+00:00,94,655
trade,2023-01-03,NVDA,Long,2023-01-03T14:38:00+00:00,2023-01-03T14:46:00+00:00,148.4594,148.4771,2.02,0.04,0.000119,480000,ScoreExit,0.4348,-0.1745,0.3210,0.3714,0.5994,-0.3220,-0.2787,0.0831,,,
summary,2023-01-03,NVDA,,,,,,,0.04,,1,,,,,,,,,,0.8150,2023-01-03T09:36:00+00:00,133,610
summary,2023-01-03,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7615,2023-01-03T09:45:00+00:00,131,525
summary,2023-01-04,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4810,2023-01-03T09:16:00+00:00,692,1493
summary,2023-01-04,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.4945,2023-01-03T14:39:00+00:00,758,1541
