row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2024-01-01,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.6368,2023-12-29T18:49:00+00:00,156,555
summary,2024-01-01,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.4066,2023-12-29T14:51:00+00:00,191,464
summary,2024-01-02,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6820,2024-01-02T10:21:00+00:00,120,636
summary,2024-01-03,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.3482,2024-01-02T21:03:00+00:00,183,1490
summary,2024-01-03,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6820,2024-01-02T10:21:00+00:00,216,1436
summary,2024-01-04,SPY,,,,,,,0.00,,0,,,,,,,,,,0.3809,2024-01-02T16:49:00+00:00,403,2253
summary,2024-01-04,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.3482,2024-01-02T21:03:00+00:00,183,2288
summary,2024-01-04,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6820,2024-01-02T10:21:00+00:00,216,2203
summary,2024-01-05,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4381,2024-01-02T17:00:00+00:00,546,2805
summary,2024-01-05,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.3637,2024-01-02T16:46:00+00:00,235,2844
summary,2024-01-05,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.6206,2024-01-02T16:46:00+00:00,1312,2556
summary,2024-01-05,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5836,2024-01-02T17:03:00+00:00,784,2145
trade,2024-01-08,QQQ,Long,2024-01-08T14:31:00+00:00,2024-01-08T15:56:00+00:00,398.2544,401.5545,0.75,2.49,0.008286,5100000,SessionClose,0.3534,0.1758,0.4323,0.3450,0.3438,0.3401,-0.0218,0.5163,,,
summary,2024-01-08,QQQ,,,,,,,2.49,,1,,,,,,,,,,0.8116,2024-01-05T15:55:00+00:00,596,1185
trade,2024-01-08,NVDA,Long,2024-01-08T15:58:00+00:00,2024-01-08T15:59:00+00:00,514.1142,513.9608,0.59,-0.09,-0.000298,60000,SessionClose,0.2436,0.2644,-0.3089,0.0243,0.8663,-0.1008,0.0243,0.8663,,,
summary,2024-01-08,NVDA,,,,,,,-0.09,,1,,,,,,,,,,0.9567,2024-01-05T16:02:00+00:00,956,1162
trade,2024-01-08,MSFT,Long,2024-01-08T14:42:00+00:00,2024-01-08T15:44:00+00:00,370.1960,369.9140,0.81,-0.23,-0.000762,3720000,ScoreExit,0.3515,-0.0898,0.4509,0.3362,0.3489,-0.5179,-0.2045,0.2823,,,
summary,2024-01-08,MSFT,,,,,,,-0.23,,1,,,,,,,,,,0.8728,2024-01-05T16:01:00+00:00,550,962
summary,2024-01-09,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6389,2024-01-08T10:34:00+00:00,1090,1425
summary,2024-01-09,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6934,2024-01-08T10:33:00+00:00,1237,1545
trade,2024-01-09,NVDA,Long,2024-01-09T15:05:00+00:00,2024-01-09T15:56:00+00:00,523.1219,522.6132,0.41,-0.21,-0.000972,3060000,SessionClose,0.2231,0.2303,0.1322,0.0876,0.5245,0.3428,0.0645,0.5245,,,
summary,2024-01-09,NVDA,,,,,,,-0.21,,1,,,,,,,,,,0.7923,2024-01-08T10:25:00+00:00,1300,1485
summary,2024-01-09,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.8374,2024-01-08T11:52:00+00:00,876,1168
summary,2024-01-10,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6389,2024-01-08T10:34:00+00:00,1615,2195
summary,2024-01-10,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6883,2024-01-08T11:34:00+00:00,1459,2107
trade,2024-01-10,NVDA,Long,2024-01-10T15:59:00+00:00,2024-01-10T16:00:00+00:00,545.7037,545.5013,0.46,-0.09,-0.000371,60000,SessionClose,0.4793,0.4745,0.5508,0.4255,0.5633,0.5024,0.4255,0.5633,,,
summary,2024-01-10,NVDA,,,,,,,-0.09,,1,,,,,,,,,,0.7923,2024-01-08T10:25:00+00:00,2010,2352
trade,2024-01-10,MSFT,Long,2024-01-10T14:31:00+00:00,2024-01-10T15:56:00+00:00,377.3732,381.5305,0.80,3.31,0.011016,5100000,SessionClose,0.4006,0.1433,0.4564,0.3920,0.3991,-0.1706,0.0359,0.4628,,,
trade,2024-01-10,MSFT,Long,2024-01-10T15:58:00+00:00,2024-01-10T15:59:00+00:00,381.6495,381.4405,0.79,-0.16,-0.000547,60000,SessionClose,0.1218,0.1403,-0.3857,0.0359,0.4628,-0.2004,0.0359,0.4628,,,
