row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_reason,candle_pattern,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2025-01-01,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.6204,2024-12-30T16:43:00+00:00,639,1487
summary,2025-01-01,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.6107,2024-12-30T16:42:00+00:00,603,1636
summary,2025-01-01,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.5601,2024-12-30T17:28:00+00:00,426,1297
summary,2025-01-01,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.5826,2024-12-30T17:45:00+00:00,430,1112
summary,2025-01-02,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.5836,2024-12-30T16:43:00+00:00,875,1910
summary,2025-01-02,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.5915,2024-12-30T16:42:00+00:00,741,2023
summary,2025-01-02,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.5537,2024-12-30T17:28:00+00:00,413,1742
summary,2025-01-02,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.6498,2024-12-30T15:44:00+00:00,530,1543
summary,2025-01-03,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.4820,2025-01-02T09:15:00+00:00,934,1934
summary,2025-01-03,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.5315,2025-01-02T09:09:00+00:00,973,1988
summary,2025-01-03,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.4441,2025-01-02T09:23:00+00:00,71,1837
summary,2025-01-03,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.5239,2025-01-02T09:07:00+00:00,499,1569
trade,2025-01-06,SPY,Long,2025-01-06T15:06:00+00:00,2025-01-06T15:56:00+00:00,598.3545,598.8753,0.50,0.26,0.000870,3000000,SessionClose,window:strong core,hammer,0.4149,0.2320,0.2395,0.4108,0.4817,0.4837,0.0652,0.4817,,,
summary,2025-01-06,SPY,,,,,,,0.26,,1,,,,,,,,,,,,0.7443,2025-01-03T16:03:00+00:00,960,1171
trade,2025-01-06,QQQ,Long,2025-01-06T14:41:00+00:00,2025-01-06T15:56:00+00:00,525.7227,527.4667,0.57,1.00,0.003317,4500000,SessionClose,window:candle reversal,shooting_star,0.3786,0.2004,0.5208,0.2885,0.5112,0.4032,-0.0043,0.5423,,,
summary,2025-01-06,QQQ,,,,,,,1.00,,1,,,,,,,,,,,,0.7286,2025-01-03T14:39:00+00:00,1021,1237
trade,2025-01-06,AAPL,Long,2025-01-06T15:16:00+00:00,2025-01-06T15:56:00+00:00,245.7052,246.1391,1.22,0.53,0.001766,2400000,SessionClose,window:candle reversal,shooting_star,0.3138,0.4066,0.5819,0.1600,0.5320,0.3719,0.3497,0.5320,,,
summary,2025-01-06,AAPL,,,,,,,0.53,,1,,,,,,,,,,,,0.8627,2025-01-03T14:43:00+00:00,692,1144
trade,2025-01-06,MSFT,Long,2025-01-06T14:46:00+00:00,2025-01-06T15:56:00+00:00,430.1240,431.7254,0.70,1.12,0.003723,4200000,SessionClose,window:candle reversal,shooting_star,0.4423,0.1702,0.3056,0.4010,0.5704,-0.1392,0.0170,0.5797,,,
summary,2025-01-06,MSFT,,,,,,,1.12,,1,,,,,,,,,,,,0.7629,2025-01-03T15:04:00+00:00,700,1044
summary,2025-01-07,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.7286,2025-01-06T10:19:00+00:00,524,1426
summary,2025-01-07,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.7863,2025-01-06T10:22:00+00:00,725,1546
trade,2025-01-07,AAPL,Long,2025-01-07T14:34:00+00:00,2025-01-07T15:36:00+00:00,244.5183,244.7166,1.23,0.24,0.000811,3720000,ScoreExit,window:candle reversal,shooting_star,0.3575,-0.0629,0.5065,0.4081,0.2068,-0.4046,-0.1572,0.2397,,,
summary,2025-01-07,AAPL,,,,,,,0.24,,1,,,,,,,,,,,,0.6062,2025-01-06T16:06:00+00:00,398,1384
