row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_reason,candle_pattern,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2023-01-02,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.6401,2022-12-30T20:51:00+00:00,250,489
summary,2023-01-02,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.8888,2022-12-30T15:49:00+00:00,314,494
summary,2023-01-02,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.9585,2022-12-30T15:48:00+00:00,346,494
summary,2023-01-02,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.8504,2022-12-30T15:49:00+00:00,255,444
trade,2023-01-03,SPY,Long,2023-01-03T14:41:00+00:00,2023-01-03T15:56:00+00:00,385.8507,381.1505,0.78,-3.66,-0.012181,4500000,SessionClose,window:candle reversal,shooting_star,0.3578,0.0000,0.5883,0.1935,0.6093,0.0545,0.2109,-0.7648,,,
summary,2023-01-03,SPY,,,,,,,-3.66,,1,,,,,,,,,,,,0.4810,2023-01-03T09:16:00+00:00,148,685
trade,2023-01-03,QQQ,Long,2023-01-03T14:41:00+00:00,2023-01-03T14:47:00+00:00,269.7959,268.7394,1.11,-1.18,-0.003916,360000,ScoreExit,window:candle reversal,shooting_star,0.3862,-0.2087,0.5846,0.1029,0.8868,-0.2973,-0.3466,0.0968,,,
summary,2023-01-03,QQQ,,,,,,,-1.18,,1,,,,,,,,,,,,0.4888,2023-01-03T14:39:00+00:00,201,696
summary,2023-01-03,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.5841,2023-01-03T09:04:00+00:00,95,655
summary,2023-01-03,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.7629,2023-01-03T09:45:00+00:00,134,525
summary,2023-01-04,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.5004,2023-01-04T16:35:00+00:00,687,1493
summary,2023-01-04,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.5130,2023-01-04T16:35:00+00:00,776,1541
trade,2023-01-04,AAPL,Long,2023-01-04T15:56:00+00:00,2023-01-04T15:57:00+00:00,126.8844,126.7420,2.36,-0.34,-0.001122,60000,SessionClose,window:strong core,,0.4028,0.3796,0.1847,0.4172,0.4465,-0.0466,0.4172,0.4465,,,
trade,2023-01-04,AAPL,Long,2023-01-04T15:59:00+00:00,2023-01-04T16:00:00+00:00,126.8630,126.9169,2.37,0.13,0.000425,60000,SessionClose,window:strong core,,0.3819,0.4355,-0.0238,0.4172,0.4465,0.5116,0.4172,0.4465,,,
summary,2023-01-04,AAPL,,,,,,,-0.21,,2,,,,,,,,,,,,0.5841,2023-01-03T09:04:00+00:00,556,1528
