row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2024-01-01,SPY,,,,,,,0.00,,0,,,,,,,,,,0.2999,2023-12-29T14:38:00+00:00,142,524
summary,2024-01-01,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.3592,2023-12-29T18:49:00+00:00,119,518
summary,2024-01-01,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.2900,2023-12-29T20:28:00+00:00,33,543
summary,2024-01-01,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.7242,2023-12-29T18:49:00+00:00,147,555
summary,2024-01-01,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.4120,2023-12-29T19:24:00+00:00,186,464
summary,2024-01-02,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4055,2024-01-02T16:49:00+00:00,157,655
summary,2024-01-02,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.3733,2024-01-02T20:58:00+00:00,74,658
summary,2024-01-02,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6821,2024-01-02T10:21:00+00:00,120,636
summary,2024-01-02,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.6777,2024-01-02T16:46:00+00:00,270,618
summary,2024-01-02,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7465,2024-01-02T13:02:00+00:00,168,527
summary,2024-01-03,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4055,2024-01-02T16:49:00+00:00,374,1444
summary,2024-01-03,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.3901,2024-01-02T21:03:00+00:00,180,1490
summary,2024-01-03,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6821,2024-01-02T10:21:00+00:00,216,1436
