row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2025-01-01,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6264,2024-12-30T16:43:00+00:00,636,1487
summary,2025-01-01,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6166,2024-12-30T16:42:00+00:00,597,1636
summary,2025-01-01,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5697,2024-12-30T17:28:00+00:00,425,1297
summary,2025-01-01,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.7850,2024-12-30T14:51:00+00:00,783,1896
summary,2025-01-01,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5902,2024-12-30T17:45:00+00:00,428,1112
summary,2025-01-02,SPY,,,,,,,0.00,,0,,,,,,,,,,0.5906,2024-12-30T16:43:00+00:00,867,1910
summary,2025-01-02,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.5990,2024-12-30T16:42:00+00:00,734,2023
summary,2025-01-02,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5631,2024-12-30T17:28:00+00:00,411,1742
trade,2025-01-02,NVDA,Long,2025-01-02T14:55:00+00:00,2025-01-02T15:56:00+00:00,137.0661,137.5437,2.19,1.05,0.003485,3660000,SessionClose,0.4011,0.1915,0.6111,0.4070,0.3191,0.4125,0.0455,0.4097,,,
summary,2025-01-02,NVDA,,,,,,,1.05,,1,,,,,,,,,,1.0000,2024-12-30T14:38:00+00:00,1129,2290
summary,2025-01-02,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6498,2024-12-30T15:44:00+00:00,526,1543
summary,2025-01-03,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4882,2025-01-02T09:15:00+00:00,926,1934
trade,2025-01-03,QQQ,Long,2025-01-03T14:37:00+00:00,2025-01-03T15:16:00+00:00,514.3894,514.4406,0.58,0.03,0.000100,2340000,ScoreExit,0.4119,-0.0708,0.1780,0.5105,0.2928,-0.5444,-0.1766,0.2986,,,
summary,2025-01-03,QQQ,,,,,,,0.03,,1,,,,,,,,,,0.5311,2025-01-02T09:09:00+00:00,965,1988
summary,2025-01-03,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.4473,2025-01-02T09:23:00+00:00,71,1837
summary,2025-01-03,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.9004,2024-12-31T15:27:00+00:00,1516,2301
trade,2025-01-03,MSFT,Long,2025-01-03T14:40:00+00:00,2025-01-03T15:16:00+00:00,422.7318,421.4985,0.71,-0.88,-0.002917,2160000,ScoreExit,0.4038,-0.1310,0.5380,0.4768,0.2130,-0.5224,-0.1797,0.0970,,,
summary,2025-01-03,MSFT,,,,,,,-0.88,,1,,,,,,,,,,0.5230,2025-01-02T09:07:00+00:00,494,1569
trade,2025-01-06,SPY,Long,2025-01-06T15:02:00+00:00,2025-01-06T15:56:00+00:00,598.1444,598.8753,0.50,0.37,0.001222,3240000,SessionClose,0.4001,0.2322,0.2357,0.3867,0.4817,0.4837,0.0655,0.4817,,,
summary,2025-01-06,SPY,,,,,,,0.37,,1,,,,,,,,,,0.7443,2025-01-03T16:03:00+00:00,951,1171
trade,2025-01-06,QQQ,Long,2025-01-06T14:31:00+00:00,2025-01-06T15:56:00+00:00,524.6724,527.4667,0.57,1.60,0.005326,5100000,SessionClose,0.4072,0.2011,0.5530,0.3309,0.5112,0.4032,-0.0031,0.5423,,,
summary,2025-01-06,QQQ,,,,,,,1.60,,1,,,,,,,,,,0.7286,2025-01-03T14:39:00+00:00,1012,1237
trade,2025-01-06,AAPL,Long,2025-01-06T14:31:00+00:00,2025-01-06T15:56:00+00:00,244.9335,246.1391,1.23,1.48,0.004922,5100000,SessionClose,0.4201,0.4126,0.5419,0.3953,0.4291,0.3719,0.3597,0.5320,,,
trade,2025-01-06,AAPL,Long,2025-01-06T15:58:00+00:00,2025-01-06T15:59:00+00:00,246.2288,246.2111,1.22,-0.02,-0.000072,60000,SessionClose,0.3720,0.4167,-0.0346,0.3597,0.5320,0.4131,0.3597,0.5320,,,
summary,2025-01-06,AAPL,,,,,,,1.46,,2,,,,,,,,,,0.8627,2025-01-03T14:43:00+00:00,688,1144
summary,2025-01-06,NVDA,,,,,,,0.00,,0,,,,,,,,,,1.0000,2025-01-03T14:32:00+00:00,1289,1351
trade,2025-01-06,MSFT,Long,2025-01-06T14:38:00+00:00,2025-01-06T15:56:00+00:00,428.5135,431.7254,0.70,2.25,0.007496,4680000,SessionClose,0.4204,0.1663,0.4002,0.3488,0.5704,-0.1392,0.0105,0.5797,,,
summary,2025-01-06,MSFT,,,,,,,2.25,,1,,,,,,,,,,0.7629,2025-01-03T15:04:00+00:00,694,1044
summary,2025-01-07,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7286,2025-01-06T10:19:00+00:00,520,1426
summary,2025-01-07,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.7863,2025-01-06T10:22:00+00:00,716,1546
trade,2025-01-07,AAPL,Long,2025-01-07T14:36:00+00:00,2025-01-07T15:36:00+00:00,244.3683,244.7166,1.23,0.43,0.001425,3600000,ScoreExit,0.3667,-0.0671,0.4264,0.4469,0.1864,-0.4046,-0.1643,0.2397,,,
summary,2025-01-07,AAPL,,,,,,,0.43,,1,,,,,,,,,,0.6123,2025-01-06T16:06:00+00:00,397,1384
summary,2025-01-07,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8928,2025-01-06T09:53:00+00:00,1114,1681
summary,2025-01-07,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.9249,2025-01-06T10:22:00+00:00,388,1188
summary,2025-01-08,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7286,2025-01-06T10:19:00+00:00,520,2255
