row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2023-01-02,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6401,2022-12-30T20:51:00+00:00,250,489
summary,2023-01-02,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.8888,2022-12-30T15:49:00+00:00,314,494
summary,2023-01-02,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.9585,2022-12-30T15:48:00+00:00,345,494
summary,2023-01-02,NVDA,,,,,,,0.00,,0,,,,,,,,,,1.0000,2022-12-30T14:34:00+00:00,343,460
summary,2023-01-02,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.8504,2022-12-30T15:49:00+00:00,255,444
summary,2023-01-03,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4810,2023-01-03T09:16:00+00:00,148,685
summary,2023-01-03,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.4888,2023-01-03T14:39:00+00:00,201,696
summary,2023-01-03,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5841,2023-01-03T09:04:00+00:00,95,655
summary,2023-01-03,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8155,2023-01-03T09:36:00+00:00,132,610
summary,2023-01-03,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7629,2023-01-03T09:45:00+00:00,133,525
summary,2023-01-04,SPY,,,,,,,0.00,,0,,,,,,,,,,0.5004,2023-01-04T16:35:00+00:00,682,1493
summary,2023-01-04,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.5130,2023-01-04T16:35:00+00:00,769,1541
summary,2023-01-04,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5841,2023-01-03T09:04:00+00:00,555,1528
summary,2023-01-04,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8155,2023-01-03T09:36:00+00:00,638,1270
summary,2023-01-04,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7629,2023-01-03T09:45:00+00:00,184,1238
summary,2023-01-05,SPY,,,,,,,0.00,,0,,,,,,,,,,0.5004,2023-01-04T16:35:00+00:00,1032,2362
summary,2023-01-05,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.5130,2023-01-04T16:35:00+00:00,1062,2434
summary,2023-01-05,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5841,2023-01-03T09:04:00+00:00,1004,2416
summary,2023-01-05,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8155,2023-01-03T09:36:00+00:00,810,1952
summary,2023-01-05,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7629,2023-01-03T09:45:00+00:00,184,1971
