=== year backtest: 2024 ===
capital: $10000  lookback: 3  costs: --slippage-bps 2.0 --half-spread 0.005
overrides: --use-entry-windows --w4-5m-min 0.40 --max-hold-ms 7200000 --hold-score-gate 0.15 --hold-tier 0.001:1800000 --hold-tier 0.003:3600000 --hold-tier 0.005:5400000 --add-profit-trail 0.50 --profit-trail-min 0.0005
total trading days: 262

row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2024-01-01,SPY,,,,,,,0.00,,0,,,,,,,,,,0.3048,2023-12-29T18:49:00+00:00,139,524
summary,2024-01-01,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.3697,2023-12-29T18:49:00+00:00,117,518
summary,2024-01-01,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.2988,2023-12-29T20:28:00+00:00,33,543
summary,2024-01-01,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.7619,2023-12-29T18:49:00+00:00,146,555
summary,2024-01-01,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.4216,2023-12-29T19:24:00+00:00,183,464
  [1/262] 2024-01-01  +$0.00  (0 trades)  cum: +$0.00
summary,2024-01-02,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4159,2024-01-02T16:49:00+00:00,154,655
summary,2024-01-02,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.3856,2024-01-02T21:00:00+00:00,74,658
summary,2024-01-02,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6821,2024-01-02T10:21:00+00:00,120,636
summary,2024-01-02,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.6957,2024-01-02T16:46:00+00:00,266,618
summary,2024-01-02,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7736,2024-01-02T13:02:00+00:00,168,527
  [2/262] 2024-01-02  +$0.00  (0 trades)  cum: +$0.00
summary,2024-01-03,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4159,2024-01-02T16:49:00+00:00,371,1444
summary,2024-01-03,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.4025,2024-01-02T21:03:00+00:00,179,1490
summary,2024-01-03,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6821,2024-01-02T10:21:00+00:00,216,1436
trade,2024-01-03,NVDA,Long,2024-01-03T14:44:00+00:00,2024-01-03T14:46:00+00:00,480.5599,479.9090,0.60,-0.39,-0.001354,120000,TrailingStop,0.5301,0.4796,0.5682,0.7454,0.0869,0.1780,0.7399,0.0596,,,
trade,2024-01-03,NVDA,Long,2024-01-03T14:48:00+00:00,2024-01-03T14:50:00+00:00,480.9112,480.9288,0.57,0.01,0.000037,120000,TrailingStop,0.5057,0.5054,0.2652,0.7399,0.1176,0.2070,0.7399,0.1358,,,
summary,2024-01-03,NVDA,,,,,,,-0.38,,2,,,,,,,,,,0.6957,2024-01-02T16:46:00+00:00,397,1377
trade,2024-01-03,MSFT,Long,2024-01-03T14:32:00+00:00,2024-01-03T14:38:00+00:00,370.6691,371.3007,0.81,0.51,0.001704,360000,TrailingStop,0.5248,0.4131,0.6186,0.5851,0.3729,0.2770,0.4183,0.4482,,,
trade,2024-01-03,MSFT,Long,2024-01-03T14:40:00+00:00,2024-01-03T14:52:00+00:00,371.4193,371.8406,0.81,0.34,0.001134,720000,TrailingStop,0.4016,0.4427,0.1962,0.4183,0.4368,-0.3337,0.5471,0.4926,,,
trade,2024-01-03,MSFT,Long,2024-01-03T14:54:00+00:00,2024-01-03T15:05:00+00:00,372.5495,372.7604,0.81,0.17,0.000566,660000,TrailingStop,0.4955,0.4820,0.1755,0.5471,0.4991,0.2626,0.5067,0.5058,,,
summary,2024-01-03,MSFT,,,,,,,1.02,,3,,,,,,,,,,0.7736,2024-01-02T13:02:00+00:00,495,1134
  [3/262] 2024-01-03  +$0.64  (5 trades)  cum: +$0.64
summary,2024-01-04,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4159,2024-01-02T16:49:00+00:00,395,2253
summary,2024-01-04,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.4025,2024-01-02T21:03:00+00:00,179,2288
summary,2024-01-04,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6821,2024-01-02T10:21:00+00:00,216,2203
summary,2024-01-04,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.6957,2024-01-02T16:46:00+00:00,676,2068
summary,2024-01-04,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7736,2024-01-02T13:02:00+00:00,661,1690
  [4/262] 2024-01-04  +$0.00  (0 trades)  cum: +$0.64
summary,2024-01-05,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4678,2024-01-02T17:00:00+00:00,539,2805
summary,2024-01-05,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.3846,2024-01-02T16:46:00+00:00,238,2844
summary,2024-01-05,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.7542,2024-01-02T14:32:00+00:00,100,2729
