row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2023-01-02,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6592,2022-12-30T20:51:00+00:00,250,489
summary,2023-01-02,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.8888,2022-12-30T15:49:00+00:00,312,494
summary,2023-01-02,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.9585,2022-12-30T15:48:00+00:00,342,494
summary,2023-01-02,NVDA,,,,,,,0.00,,0,,,,,,,,,,1.0000,2022-12-30T14:34:00+00:00,343,460
summary,2023-01-02,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.8504,2022-12-30T15:49:00+00:00,253,444
summary,2023-01-03,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4810,2023-01-03T09:16:00+00:00,148,685
summary,2023-01-03,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.5068,2023-01-03T14:39:00+00:00,198,696
summary,2023-01-03,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5841,2023-01-03T09:04:00+00:00,94,655
summary,2023-01-03,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8155,2023-01-03T09:36:00+00:00,133,610
summary,2023-01-03,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7629,2023-01-03T09:45:00+00:00,133,525
summary,2023-01-04,SPY,,,,,,,0.00,,0,,,,,,,,,,0.5161,2023-01-04T16:35:00+00:00,670,1493
summary,2023-01-04,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.5279,2023-01-04T16:35:00+00:00,755,1541
trade,2023-01-04,AAPL,Long,2023-01-04T15:46:00+00:00,2023-01-04T15:56:00+00:00,126.9404,126.8109,2.36,-0.31,-0.001020,600000,SessionClose,0.4365,0.4038,0.5942,0.4052,0.4465,0.1847,0.4190,0.4465,,,
trade,2023-01-04,AAPL,Long,2023-01-04T15:58:00+00:00,2023-01-04T15:59:00+00:00,126.8701,126.7896,2.36,-0.19,-0.000634,60000,SessionClose,0.4061,0.3830,0.2074,0.4190,0.4465,-0.0238,0.4190,0.4465,,,
