row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2024-01-01,SPY,,,,,,,0.00,,0,,,,,,,,,,0.3048,2023-12-29T18:49:00+00:00,139,524
summary,2024-01-01,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.3697,2023-12-29T18:49:00+00:00,117,518
summary,2024-01-01,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.2988,2023-12-29T20:28:00+00:00,33,543
summary,2024-01-01,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.7619,2023-12-29T18:49:00+00:00,146,555
summary,2024-01-01,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.4216,2023-12-29T19:24:00+00:00,183,464
summary,2024-01-02,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4159,2024-01-02T16:49:00+00:00,154,655
summary,2024-01-02,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.3856,2024-01-02T21:00:00+00:00,74,658
summary,2024-01-02,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6821,2024-01-02T10:21:00+00:00,120,636
summary,2024-01-02,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.6957,2024-01-02T16:46:00+00:00,266,618
summary,2024-01-02,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7736,2024-01-02T13:02:00+00:00,168,527
summary,2024-01-03,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4159,2024-01-02T16:49:00+00:00,371,1444
summary,2024-01-03,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.4025,2024-01-02T21:03:00+00:00,179,1490
summary,2024-01-03,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6821,2024-01-02T10:21:00+00:00,216,1436
trade,2024-01-03,NVDA,Long,2024-01-03T14:36:00+00:00,2024-01-03T15:56:00+00:00,479.6109,475.5699,0.21,-0.84,-0.008426,4800000,SessionClose,0.4177,0.0000,0.7235,0.5655,0.0202,0.1053,0.0510,-0.1655,,,
summary,2024-01-03,NVDA,,,,,,,-0.84,,1,,,,,,,,,,0.6957,2024-01-02T16:46:00+00:00,397,1377
trade,2024-01-03,MSFT,Long,2024-01-03T14:31:00+00:00,2024-01-03T15:56:00+00:00,369.4489,371.8056,0.27,0.64,0.006379,5100000,SessionClose,0.4827,0.2291,0.5618,0.5851,0.2514,0.4152,0.0758,0.4737,,,
summary,2024-01-03,MSFT,,,,,,,0.64,,1,,,,,,,,,,0.7736,2024-01-02T13:02:00+00:00,495,1134
summary,2024-01-04,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4159,2024-01-02T16:49:00+00:00,395,2253
summary,2024-01-04,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.4025,2024-01-02T21:03:00+00:00,179,2288
summary,2024-01-04,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6821,2024-01-02T10:21:00+00:00,216,2203
trade,2024-01-04,NVDA,Long,2024-01-04T15:31:00+00:00,2024-01-04T15:56:00+00:00,480.0485,480.8088,0.21,0.16,0.001584,1500000,SessionClose,0.4203,0.2228,0.4464,0.5245,0.2034,0.2489,0.2019,0.2560,,,
summary,2024-01-04,NVDA,,,,,,,0.16,,1,,,,,,,,,,0.6957,2024-01-02T16:46:00+00:00,676,2068
summary,2024-01-04,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7736,2024-01-02T13:02:00+00:00,661,1690
trade,2024-01-05,SPY,Long,2024-01-05T15:06:00+00:00,2024-01-05T15:56:00+00:00,469.8690,470.1859,0.21,0.07,0.000675,3000000,SessionClose,0.4046,0.1276,0.5424,0.5041,0.1597,0.4665,0.0384,0.1930,,,
summary,2024-01-05,SPY,,,,,,,0.07,,1,,,,,,,,,,0.4678,2024-01-02T17:00:00+00:00,539,2805
summary,2024-01-05,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.3846,2024-01-02T16:46:00+00:00,238,2844
summary,2024-01-05,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.7542,2024-01-02T14:32:00+00:00,100,2729
trade,2024-01-05,NVDA,Long,2024-01-05T15:58:00+00:00,2024-01-05T15:59:00+00:00,492.3019,492.3882,0.20,0.02,0.000175,60000,SessionClose,0.5278,0.5276,0.5284,0.4974,0.5885,0.5259,0.4974,0.5885,,,
summary,2024-01-05,NVDA,,,,,,,0.02,,1,,,,,,,,,,0.6593,2024-01-03T14:48:00+00:00,1250,2556
summary,2024-01-05,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6227,2024-01-03T14:48:00+00:00,755,2145
trade,2024-01-08,SPY,Long,2024-01-08T15:50:00+00:00,2024-01-08T15:56:00+00:00,470.8291,470.3409,0.21,-0.10,-0.001037,360000,SessionClose,0.4077,0.0902,0.5484,0.3664,0.4433,-0.2738,-0.0046,0.4013,,,
summary,2024-01-08,SPY,,,,,,,-0.10,,1,,,,,,,,,,0.7281,2024-01-05T15:52:00+00:00,608,1149
