row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2022-01-03,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4714,2022-01-03T10:38:00+00:00,625,1128
summary,2022-01-03,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.4206,2022-01-03T18:44:00+00:00,533,1105
summary,2022-01-03,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5981,2022-01-03T14:41:00+00:00,594,1134
trade,2022-01-03,NVDA,Long,2022-01-03T14:39:00+00:00,2022-01-03T15:55:00+00:00,305.9768,305.0934,0.86,-0.76,-0.002887,4560000,MaxHoldTimeout,0.7686,0.5383,0.6188,0.8425,0.6709,0.5689,0.3782,0.8482,,,
summary,2022-01-03,NVDA,,,,,,,-0.76,,1,,,,,,,,,,1.0000,2021-12-31T14:41:00+00:00,532,1076
summary,2022-01-03,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5354,2022-01-03T09:03:00+00:00,270,966
summary,2022-01-04,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7454,2022-01-03T10:30:00+00:00,881,1485
summary,2022-01-04,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.7304,2022-01-03T10:22:00+00:00,760,1449
summary,2022-01-04,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.7146,2022-01-03T14:41:00+00:00,912,1527
summary,2022-01-04,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8874,2022-01-03T14:35:00+00:00,548,1357
summary,2022-01-04,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5309,2022-01-03T11:01:00+00:00,383,1154
summary,2022-01-05,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7454,2022-01-03T10:30:00+00:00,1014,2336
summary,2022-01-05,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.7304,2022-01-03T10:22:00+00:00,760,2270
summary,2022-01-05,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.7146,2022-01-03T14:41:00+00:00,912,2311
summary,2022-01-05,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8874,2022-01-03T14:35:00+00:00,548,2135
summary,2022-01-05,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5309,2022-01-03T11:01:00+00:00,383,1745
summary,2022-01-06,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4812,2022-01-03T14:37:00+00:00,1048,2996
summary,2022-01-06,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6862,2022-01-03T14:37:00+00:00,672,2922
summary,2022-01-06,AAPL,,,,,,,0.00,,0,,,,,,,,,,1.0000,2022-01-03T14:36:00+00:00,839,2962
trade,2022-01-06,NVDA,Long,2022-01-06T15:47:00+00:00,2022-01-06T15:56:00+00:00,278.9587,280.1009,0.64,0.73,0.004095,540000,SessionClose,0.3880,0.4916,0.1173,0.5669,0.1206,0.3511,0.7006,0.1206,,,
trade,2022-01-06,NVDA,Long,2022-01-06T16:00:00+00:00,2022-01-06T16:01:00+00:00,282.3596,283.1701,0.63,0.51,0.002871,60000,SessionClose,0.5031,0.4538,0.4653,0.7006,0.1206,0.6534,0.6168,0.0612,,,
summary,2022-01-06,NVDA,,,,,,,1.24,,2,,,,,,,,,,1.0000,2022-01-03T14:31:00+00:00,538,2765
summary,2022-01-06,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6808,2022-01-03T14:31:00+00:00,382,2340
summary,2022-01-07,SPY,,,,,,,0.00,,0,,,,,,,,,,0.3666,2022-01-04T14:41:00+00:00,258,3033
summary,2022-01-07,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.4470,2022-01-04T20:49:00+00:00,236,2972
summary,2022-01-07,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5892,2022-01-04T14:56:00+00:00,25,2940
summary,2022-01-07,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.7004,2022-01-04T20:38:00+00:00,649,2779
summary,2022-01-07,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.4246,2022-01-04T20:49:00+00:00,25,2413
summary,2022-01-10,SPY,,,,,,,0.00,,0,,,,,,,,,,0.5413,2022-01-07T16:54:00+00:00,250,1132
summary,2022-01-10,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.9103,2022-01-07T14:45:00+00:00,255,1130
summary,2022-01-10,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.9397,2022-01-07T14:45:00+00:00,381,1130
summary,2022-01-10,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.9115,2022-01-07T14:45:00+00:00,301,1143
summary,2022-01-10,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.8914,2022-01-07T14:58:00+00:00,450,985
summary,2022-01-11,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6316,2022-01-10T19:08:00+00:00,962,1534
summary,2022-01-11,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6704,2022-01-10T18:23:00+00:00,968,1546
summary,2022-01-11,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6348,2022-01-10T18:18:00+00:00,918,1472
trade,2022-01-11,NVDA,Long,2022-01-11T15:11:00+00:00,2022-01-11T15:41:00+00:00,274.1422,270.9137,0.78,-2.53,-0.011777,1800000,ScoreExit,0.4001,-0.1563,0.1837,0.5119,0.2487,-0.5780,-0.2886,0.2487,,,
summary,2022-01-11,NVDA,,,,,,,-2.53,,1,,,,,,,,,,0.8599,2022-01-10T18:52:00+00:00,924,1479
summary,2022-01-11,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7303,2022-01-10T18:24:00+00:00,717,1203
summary,2022-01-12,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6316,2022-01-10T19:08:00+00:00,1541,2339
summary,2022-01-12,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6704,2022-01-10T18:23:00+00:00,1581,2400
summary,2022-01-12,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6348,2022-01-10T18:18:00+00:00,1512,2282
summary,2022-01-12,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8599,2022-01-10T18:52:00+00:00,1471,2202
trade,2022-01-12,MSFT,Long,2022-01-12T15:06:00+00:00,2022-01-12T15:36:00+00:00,321.9315,321.4385,0.93,-0.46,-0.001531,1800000,ScoreExit,0.4345,-0.0700,0.3124,0.5025,0.3391,-0.2774,-0.2400,0.3391,,,
summary,2022-01-12,MSFT,,,,,,,-0.46,,1,,,,,,,,,,0.7303,2022-01-10T18:24:00+00:00,1153,1824
summary,2022-01-13,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6296,2022-01-10T19:08:00+00:00,1973,2904
summary,2022-01-13,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6657,2022-01-10T18:23:00+00:00,2012,2979
summary,2022-01-13,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.8583,2022-01-10T14:50:00+00:00,1964,2804
summary,2022-01-13,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8531,2022-01-10T18:52:00+00:00,1789,2685
summary,2022-01-13,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7265,2022-01-10T18:24:00+00:00,1360,2270
summary,2022-01-14,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6405,2022-01-11T16:38:00+00:00,1558,2859
trade,2022-01-14,QQQ,Long,2022-01-14T14:42:00+00:00,2022-01-14T15:56:00+00:00,378.0684,377.7516,0.79,-0.25,-0.000838,4440000,SessionClose,0.4114,0.0000,0.3878,0.6153,0.0116,0.4849,-0.1533,-0.0971,,,
summary,2022-01-14,QQQ,,,,,,,-0.25,,1,,,,,,,,,,0.9035,2022-01-11T15:05:00+00:00,1566,2994
trade,2022-01-14,AAPL,Long,2022-01-14T14:42:00+00:00,2022-01-14T15:56:00+00:00,172.3667,172.3433,1.74,-0.04,-0.000136,4440000,SessionClose,0.3603,0.0000,0.1991,0.5162,0.1021,0.3998,-0.1568,-0.0217,,,
summary,2022-01-14,AAPL,,,,,,,-0.04,,1,,,,,,,,,,0.7629,2022-01-11T15:12:00+00:00,1505,2790
trade,2022-01-14,NVDA,Long,2022-01-14T14:41:00+00:00,2022-01-14T15:31:00+00:00,269.4358,268.3095,0.97,-1.09,-0.004180,3000000,ScoreExit,0.6504,-0.0721,0.6931,0.8559,0.2253,-0.5856,-0.0795,0.1139,,,
summary,2022-01-14,NVDA,,,,,,,-1.09,,1,,,,,,,,,,1.0000,2022-01-11T14:36:00+00:00,1456,2655
trade,2022-01-14,MSFT,Long,2022-01-14T14:36:00+00:00,2022-01-14T15:56:00+00:00,305.8867,308.3725,0.98,2.44,0.008126,4800000,SessionClose,0.4527,0.0000,0.3240,0.6649,0.0711,0.4934,-0.0412,-0.0044,,,
summary,2022-01-14,MSFT,,,,,,,2.44,,1,,,,,,,,,,0.8938,2022-01-11T15:05:00+00:00,1073,2396
summary,2022-01-17,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7904,2022-01-14T14:55:00+00:00,265,492
summary,2022-01-17,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.9074,2022-01-14T14:40:00+00:00,290,474
summary,2022-01-17,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.8967,2022-01-14T14:55:00+00:00,227,475
summary,2022-01-17,NVDA,,,,,,,0.00,,0,,,,,,,,,,1.0000,2022-01-14T14:31:00+00:00,257,477
summary,2022-01-17,MSFT,,,,,,,0.00,,0,,,,,,,,,,1.0000,2022-01-14T14:39:00+00:00,369,455
summary,2022-01-18,SPY,,,,,,,0.00,,0,,,,,,,,,,0.5527,2022-01-18T10:29:00+00:00,216,680
summary,2022-01-18,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6037,2022-01-18T15:29:00+00:00,206,701
summary,2022-01-18,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6712,2022-01-18T10:13:00+00:00,202,660
summary,2022-01-18,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.7140,2022-01-18T10:26:00+00:00,247,614
summary,2022-01-18,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6837,2022-01-18T15:05:00+00:00,198,600
summary,2022-01-19,SPY,,,,,,,0.00,,0,,,,,,,,,,0.5527,2022-01-18T10:29:00+00:00,623,1555
summary,2022-01-19,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6037,2022-01-18T15:29:00+00:00,568,1592
summary,2022-01-19,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6712,2022-01-18T10:13:00+00:00,417,1469
summary,2022-01-19,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.7140,2022-01-18T10:26:00+00:00,456,1403
summary,2022-01-19,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.8115,2022-01-19T14:57:00+00:00,571,1315
summary,2022-01-20,SPY,,,,,,,0.00,,0,,,,,,,,,,0.5527,2022-01-18T10:29:00+00:00,779,2458
summary,2022-01-20,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6037,2022-01-18T15:29:00+00:00,741,2509
summary,2022-01-20,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6712,2022-01-18T10:13:00+00:00,581,2328
summary,2022-01-20,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.7140,2022-01-18T10:26:00+00:00,456,2212
summary,2022-01-20,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.8115,2022-01-19T14:57:00+00:00,905,2047
summary,2022-01-21,SPY,,,,,,,0.00,,0,,,,,,,,,,0.5242,2022-01-18T15:10:00+00:00,554,3098
summary,2022-01-21,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.9026,2022-01-18T15:10:00+00:00,567,3134
summary,2022-01-21,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.7419,2022-01-18T15:29:00+00:00,392,2981
summary,2022-01-21,NVDA,,,,,,,0.00,,0,,,,,,,,,,1.0000,2022-01-18T14:41:00+00:00,404,2851
summary,2022-01-21,MSFT,,,,,,,0.00,,0,,,,,,,,,,1.0000,2022-01-18T14:38:00+00:00,790,2655
summary,2022-01-24,SPY,,,,,,,0.00,,0,,,,,,,,,,0.9625,2022-01-21T15:50:00+00:00,242,1217
summary,2022-01-24,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.9629,2022-01-21T15:50:00+00:00,311,1221
summary,2022-01-24,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.9065,2022-01-21T14:31:00+00:00,245,1200
trade,2022-01-24,NVDA,Long,2022-01-24T14:35:00+00:00,2022-01-24T14:51:00+00:00,225.8027,221.2222,0.88,-4.02,-0.020285,960000,ScoreExit,0.4706,-0.1364,0.2138,0.5821,0.3333,-0.6957,-0.2780,0.3333,,,
summary,2022-01-24,NVDA,,,,,,,-4.02,,1,,,,,,,,,,1.0000,2022-01-21T14:31:00+00:00,526,1187
summary,2022-01-24,MSFT,,,,,,,0.00,,0,,,,,,,,,,1.0000,2022-01-21T14:31:00+00:00,355,1173
trade,2022-01-25,SPY,Long,2022-01-25T15:47:00+00:00,2022-01-25T15:56:00+00:00,432.7448,432.0154,0.64,-0.47,-0.001686,540000,SessionClose,0.4290,0.1070,0.3157,0.5476,0.2296,-0.4222,0.1550,0.1876,,,
summary,2022-01-25,SPY,,,,,,,-0.47,,1,,,,,,,,,,0.8100,2022-01-24T20:58:00+00:00,803,1642
summary,2022-01-25,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.8441,2022-01-24T18:19:00+00:00,834,1668
summary,2022-01-25,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.7814,2022-01-24T20:59:00+00:00,617,1598
trade,2022-01-25,NVDA,Long,2022-01-25T15:37:00+00:00,2022-01-25T15:56:00+00:00,225.7727,225.9872,0.99,0.21,0.000950,1140000,SessionClose,0.4354,0.1303,0.1841,0.5347,0.3206,-0.5060,0.1411,0.3206,,,
summary,2022-01-25,NVDA,,,,,,,0.21,,1,,,,,,,,,,0.9116,2022-01-24T18:16:00+00:00,765,1550
summary,2022-01-25,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.9136,2022-01-24T18:16:00+00:00,728,1505
summary,2022-01-26,SPY,,,,,,,0.00,,0,,,,,,,,,,0.8100,2022-01-24T20:58:00+00:00,1331,2562
summary,2022-01-26,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.8441,2022-01-24T18:19:00+00:00,1376,2620
summary,2022-01-26,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.7814,2022-01-24T20:59:00+00:00,1182,2517
summary,2022-01-26,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.9116,2022-01-24T18:16:00+00:00,1371,2465
summary,2022-01-26,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.9136,2022-01-24T18:16:00+00:00,1334,2442
summary,2022-01-27,SPY,,,,,,,0.00,,0,,,,,,,,,,0.8304,2022-01-24T20:58:00+00:00,1816,3167
summary,2022-01-27,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.8476,2022-01-24T18:16:00+00:00,1857,3236
summary,2022-01-27,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.8534,2022-01-24T14:39:00+00:00,1786,3101
summary,2022-01-27,NVDA,,,,,,,0.00,,0,,,,,,,,,,1.0000,2022-01-24T14:31:00+00:00,1863,3043
summary,2022-01-27,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.9268,2022-01-25T23:10:00+00:00,1923,2955
summary,2022-01-28,SPY,,,,,,,0.00,,0,,,,,,,,,,0.8784,2022-01-25T15:48:00+00:00,1422,3136
trade,2022-01-28,QQQ,Long,2022-01-28T15:57:00+00:00,2022-01-28T15:58:00+00:00,343.7481,343.9833,0.86,0.20,0.000684,60000,SessionClose,0.4839,0.4966,0.4224,0.6662,0.1396,0.5494,0.6662,0.1396,,,
summary,2022-01-28,QQQ,,,,,,,0.20,,1,,,,,,,,,,0.8252,2022-01-25T15:29:00+00:00,1479,3242
summary,2022-01-28,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.9561,2022-01-25T15:48:00+00:00,2114,3148
trade,2022-01-28,NVDA,Long,2022-01-28T15:46:00+00:00,2022-01-28T15:56:00+00:00,217.0701,221.4186,0.95,4.13,0.020032,600000,SessionClose,0.5049,0.6563,0.2193,0.7176,0.1747,0.6269,0.9019,0.1747,,,
trade,2022-01-28,NVDA,Long,2022-01-28T15:58:00+00:00,2022-01-28T15:59:00+00:00,222.1666,222.2483,0.96,0.08,0.000368,60000,SessionClose,0.6562,0.6558,0.6259,0.9019,0.1747,0.6221,0.9019,0.1747,,,
summary,2022-01-28,NVDA,,,,,,,4.20,,2,,,,,,,,,,1.0000,2022-01-25T14:33:00+00:00,1347,3001
trade,2022-01-28,MSFT,Long,2022-01-28T15:52:00+00:00,2022-01-28T15:56:00+00:00,300.7752,301.1646,0.97,0.38,0.001295,240000,SessionClose,0.5282,0.5752,0.4557,0.6117,0.3854,0.5344,0.6770,0.3854,,,
summary,2022-01-28,MSFT,,,,,,,0.38,,1,,,,,,,,,,0.9736,2022-01-25T23:10:00+00:00,1925,2900
summary,2022-01-31,SPY,,,,,,,0.00,,0,,,,,,,,,,0.9499,2022-01-28T15:59:00+00:00,1017,1160
summary,2022-01-31,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.9601,2022-01-28T15:54:00+00:00,1058,1177
summary,2022-01-31,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.9588,2022-01-28T15:47:00+00:00,1117,1181
summary,2022-01-31,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.9693,2022-01-28T15:49:00+00:00,950,1100
summary,2022-01-31,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.9593,2022-01-28T15:50:00+00:00,897,1044
summary,2022-02-01,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6798,2022-01-31T15:09:00+00:00,1203,1519
summary,2022-02-01,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.7650,2022-01-31T15:09:00+00:00,1242,1590
summary,2022-02-01,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.7084,2022-01-31T15:00:00+00:00,1071,1521
summary,2022-02-01,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.9949,2022-01-31T09:15:00+00:00,1120,1450
summary,2022-02-01,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7375,2022-01-31T15:08:00+00:00,422,1252
summary,2022-02-02,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6798,2022-01-31T15:09:00+00:00,1882,2381
summary,2022-02-02,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.7650,2022-01-31T15:09:00+00:00,1921,2496
summary,2022-02-02,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.7084,2022-01-31T15:00:00+00:00,1641,2400
summary,2022-02-02,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.9949,2022-01-31T09:15:00+00:00,1777,2328
summary,2022-02-02,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7375,2022-01-31T15:08:00+00:00,981,2025
summary,2022-02-03,SPY,,,,,,,0.00,,0,,,,,,,,,,0.8950,2022-01-31T15:09:00+00:00,2150,2988
summary,2022-02-03,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.9651,2022-01-31T14:41:00+00:00,1865,3129
summary,2022-02-03,AAPL,,,,,,,0.00,,0,,,,,,,,,,1.0000,2022-01-31T14:40:00+00:00,2021,2987
trade,2022-02-03,NVDA,Long,2022-02-03T15:11:00+00:00,2022-02-03T15:56:00+00:00,246.9691,248.6005,1.03,1.68,0.006606,2700000,SessionClose,0.5457,0.1643,0.3487,0.6363,0.4302,0.4771,-0.0208,0.4302,,,
summary,2022-02-03,NVDA,,,,,,,1.68,,1,,,,,,,,,,1.0000,2022-01-31T14:34:00+00:00,1881,2941
summary,2022-02-03,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.9104,2022-01-31T14:55:00+00:00,1090,2607
summary,2022-02-04,SPY,,,,,,,0.00,,0,,,,,,,,,,0.5961,2022-02-01T20:28:00+00:00,1366,3023
summary,2022-02-04,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6603,2022-02-01T21:29:00+00:00,1231,3159
summary,2022-02-04,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.7523,2022-02-01T15:59:00+00:00,1666,3023
summary,2022-02-04,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.9337,2022-02-01T21:27:00+00:00,1258,2887
trade,2022-02-04,MSFT,Long,2022-02-04T14:48:00+00:00,2022-02-04T15:34:00+00:00,303.5660,303.7638,0.99,0.20,0.000652,2760000,ScoreExit,0.3875,-0.0627,0.3577,0.5244,0.1235,-0.5513,-0.0424,0.0594,,,
summary,2022-02-04,MSFT,,,,,,,0.20,,1,,,,,,,,,,0.6550,2022-02-02T15:01:00+00:00,1302,2707
summary,2022-02-07,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7089,2022-02-04T14:43:00+00:00,684,1136
summary,2022-02-07,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.9369,2022-02-04T14:45:00+00:00,807,1160
summary,2022-02-07,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.8932,2022-02-04T15:00:00+00:00,702,1074
summary,2022-02-07,NVDA,,,,,,,0.00,,0,,,,,,,,,,1.0000,2022-02-04T14:41:00+00:00,780,1013
summary,2022-02-07,MSFT,,,,,,,0.00,,0,,,,,,,,,,1.0000,2022-02-04T14:41:00+00:00,473,950
summary,2022-02-08,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4556,2022-02-08T20:54:00+00:00,703,1460
