row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2022-01-03,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4714,2022-01-03T10:38:00+00:00,625,1128
trade,2022-01-03,QQQ,Long,2022-01-03T14:36:00+00:00,2022-01-03T14:46:00+00:00,400.4251,400.0150,0.75,-0.31,-0.001024,600000,ScoreExit,0.3782,-0.1170,0.4621,0.3770,0.3525,-0.5312,-0.2579,0.3029,,,
trade,2022-01-03,QQQ,Long,2022-01-03T15:52:00+00:00,2022-01-03T15:56:00+00:00,400.3610,400.0449,0.75,-0.24,-0.000789,240000,SessionClose,0.3649,0.3249,0.3401,0.3380,0.4269,-0.0302,0.3433,0.4062,,,
trade,2022-01-03,QQQ,Long,2022-01-03T15:58:00+00:00,2022-01-03T15:59:00+00:00,400.4051,400.0949,0.75,-0.23,-0.000775,60000,SessionClose,0.3681,0.3371,0.3193,0.3433,0.4339,0.0550,0.3433,0.4186,,,
summary,2022-01-03,QQQ,,,,,,,-0.78,,3,,,,,,,,,,0.4206,2022-01-03T18:44:00+00:00,533,1105
trade,2022-01-03,AAPL,Long,2022-01-03T14:31:00+00:00,2022-01-03T15:56:00+00:00,178.1084,180.8857,1.68,4.68,0.015593,5100000,SessionClose,0.3929,0.1021,0.4580,0.3890,0.3790,-0.3366,-0.0692,0.5907,,,
summary,2022-01-03,AAPL,,,,,,,4.68,,1,,,,,,,,,,0.5981,2022-01-03T14:41:00+00:00,594,1134
trade,2022-01-03,NVDA,Long,2022-01-03T14:33:00+00:00,2022-01-03T15:56:00+00:00,301.9556,304.9935,0.99,3.02,0.010061,4980000,SessionClose,0.7045,0.5173,0.6155,0.7361,0.6709,0.5433,0.3476,0.8482,,,
summary,2022-01-03,NVDA,,,,,,,3.02,,1,,,,,,,,,,1.0000,2021-12-31T14:41:00+00:00,532,1076
summary,2022-01-03,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5354,2022-01-03T09:03:00+00:00,270,966
summary,2022-01-04,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7454,2022-01-03T10:30:00+00:00,881,1485
summary,2022-01-04,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.7304,2022-01-03T10:22:00+00:00,760,1449
summary,2022-01-04,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.7146,2022-01-03T14:41:00+00:00,912,1527
summary,2022-01-04,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8874,2022-01-03T14:35:00+00:00,548,1357
summary,2022-01-04,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5309,2022-01-03T11:01:00+00:00,383,1154
summary,2022-01-05,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7454,2022-01-03T10:30:00+00:00,1014,2336
summary,2022-01-05,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.7304,2022-01-03T10:22:00+00:00,760,2270
summary,2022-01-05,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.7146,2022-01-03T14:41:00+00:00,912,2311
summary,2022-01-05,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8874,2022-01-03T14:35:00+00:00,548,2135
summary,2022-01-05,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5309,2022-01-03T11:01:00+00:00,383,1745
summary,2022-01-06,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4812,2022-01-03T14:37:00+00:00,1048,2996
summary,2022-01-06,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6862,2022-01-03T14:37:00+00:00,672,2922
summary,2022-01-06,AAPL,,,,,,,0.00,,0,,,,,,,,,,1.0000,2022-01-03T14:36:00+00:00,839,2962
summary,2022-01-06,NVDA,,,,,,,0.00,,0,,,,,,,,,,1.0000,2022-01-03T14:31:00+00:00,538,2765
summary,2022-01-06,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6808,2022-01-03T14:31:00+00:00,382,2340
summary,2022-01-07,SPY,,,,,,,0.00,,0,,,,,,,,,,0.3666,2022-01-04T14:41:00+00:00,258,3033
summary,2022-01-07,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.4470,2022-01-04T20:49:00+00:00,236,2972
summary,2022-01-07,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5892,2022-01-04T14:56:00+00:00,25,2940
summary,2022-01-07,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.7004,2022-01-04T20:38:00+00:00,649,2779
summary,2022-01-07,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.4246,2022-01-04T20:49:00+00:00,25,2413
summary,2022-01-10,SPY,,,,,,,0.00,,0,,,,,,,,,,0.5413,2022-01-07T16:54:00+00:00,250,1132
summary,2022-01-10,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.9103,2022-01-07T14:45:00+00:00,255,1130
summary,2022-01-10,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.9397,2022-01-07T14:45:00+00:00,381,1130
summary,2022-01-10,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.9115,2022-01-07T14:45:00+00:00,301,1143
summary,2022-01-10,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.8914,2022-01-07T14:58:00+00:00,450,985
summary,2022-01-11,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6316,2022-01-10T19:08:00+00:00,962,1534
summary,2022-01-11,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6704,2022-01-10T18:23:00+00:00,968,1546
summary,2022-01-11,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6348,2022-01-10T18:18:00+00:00,918,1472
summary,2022-01-11,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8599,2022-01-10T18:52:00+00:00,924,1479
summary,2022-01-11,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7303,2022-01-10T18:24:00+00:00,717,1203
summary,2022-01-12,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6316,2022-01-10T19:08:00+00:00,1541,2339
summary,2022-01-12,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6704,2022-01-10T18:23:00+00:00,1581,2400
summary,2022-01-12,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6348,2022-01-10T18:18:00+00:00,1512,2282
summary,2022-01-12,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8599,2022-01-10T18:52:00+00:00,1471,2202
summary,2022-01-12,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7303,2022-01-10T18:24:00+00:00,1153,1824
summary,2022-01-13,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6296,2022-01-10T19:08:00+00:00,1973,2904
summary,2022-01-13,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6657,2022-01-10T18:23:00+00:00,2012,2979
summary,2022-01-13,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.8583,2022-01-10T14:50:00+00:00,1964,2804
summary,2022-01-13,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8531,2022-01-10T18:52:00+00:00,1789,2685
summary,2022-01-13,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7265,2022-01-10T18:24:00+00:00,1360,2270
summary,2022-01-14,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6405,2022-01-11T16:38:00+00:00,1558,2859
summary,2022-01-14,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.9035,2022-01-11T15:05:00+00:00,1566,2994
summary,2022-01-14,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.7629,2022-01-11T15:12:00+00:00,1505,2790
summary,2022-01-14,NVDA,,,,,,,0.00,,0,,,,,,,,,,1.0000,2022-01-11T14:36:00+00:00,1456,2655
summary,2022-01-14,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.8938,2022-01-11T15:05:00+00:00,1073,2396
summary,2022-01-17,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7904,2022-01-14T14:55:00+00:00,265,492
summary,2022-01-17,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.9074,2022-01-14T14:40:00+00:00,290,474
summary,2022-01-17,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.8967,2022-01-14T14:55:00+00:00,227,475
summary,2022-01-17,NVDA,,,,,,,0.00,,0,,,,,,,,,,1.0000,2022-01-14T14:31:00+00:00,257,477
summary,2022-01-17,MSFT,,,,,,,0.00,,0,,,,,,,,,,1.0000,2022-01-14T14:39:00+00:00,369,455
summary,2022-01-18,SPY,,,,,,,0.00,,0,,,,,,,,,,0.5527,2022-01-18T10:29:00+00:00,216,680
summary,2022-01-18,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6037,2022-01-18T15:29:00+00:00,206,701
summary,2022-01-18,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6712,2022-01-18T10:13:00+00:00,202,660
summary,2022-01-18,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.7140,2022-01-18T10:26:00+00:00,247,614
summary,2022-01-18,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6837,2022-01-18T15:05:00+00:00,198,600
trade,2022-01-19,SPY,Long,2022-01-19T14:37:00+00:00,2022-01-19T15:06:00+00:00,458.8126,458.4674,0.65,-0.23,-0.000752,1740000,ScoreExit,0.3603,-0.1170,0.4652,0.3389,0.3683,-0.4834,-0.2143,0.1998,,,
summary,2022-01-19,SPY,,,,,,,-0.23,,1,,,,,,,,,,0.5527,2022-01-18T10:29:00+00:00,623,1555
trade,2022-01-19,QQQ,Long,2022-01-19T14:40:00+00:00,2022-01-19T15:21:00+00:00,373.5870,373.1230,0.80,-0.37,-0.001242,2460000,ScoreExit,0.3564,-0.1023,0.4444,0.3117,0.4164,-0.5140,-0.1578,0.1458,,,
summary,2022-01-19,QQQ,,,,,,,-0.37,,1,,,,,,,,,,0.6037,2022-01-18T15:29:00+00:00,568,1592
trade,2022-01-19,AAPL,Long,2022-01-19T14:59:00+00:00,2022-01-19T15:56:00+00:00,170.7912,168.9343,1.76,-3.26,-0.010872,3420000,SessionClose,0.3531,0.0000,0.4691,0.3373,0.3460,0.2788,-0.3425,-0.1703,,,
summary,2022-01-19,AAPL,,,,,,,-3.26,,1,,,,,,,,,,0.6712,2022-01-18T10:13:00+00:00,417,1469
summary,2022-01-19,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.7140,2022-01-18T10:26:00+00:00,456,1403
