row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2022-01-03,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4878,2022-01-03T10:28:00+00:00,618,1128
summary,2022-01-03,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.4381,2022-01-03T18:44:00+00:00,523,1105
trade,2022-01-03,AAPL,Long,2022-01-03T14:36:00+00:00,2022-01-03T15:56:00+00:00,179.3209,180.9038,300.00,474.89,0.008828,4800000,SessionClose,0.5817,0.1035,0.5866,0.5656,0.6124,-0.3366,-0.0667,0.5907,,,
summary,2022-01-03,AAPL,,,,,,,474.89,,1,,,,,,,,,,0.6094,2022-01-03T14:41:00+00:00,586,1134
trade,2022-01-03,NVDA,Long,2022-01-03T14:31:00+00:00,2022-01-03T15:56:00+00:00,298.4347,305.0240,332.36,2190.05,0.022080,5100000,SessionClose,0.6319,0.5412,-0.1083,0.7358,0.6709,0.5433,0.3873,0.8482,,,
summary,2022-01-03,NVDA,,,,,,,2190.05,,1,,,,,,,,,,1.0000,2021-12-31T14:41:00+00:00,524,1076
summary,2022-01-03,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5476,2022-01-03T09:03:00+00:00,265,966
summary,2022-01-04,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7454,2022-01-03T10:30:00+00:00,863,1485
summary,2022-01-04,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.7304,2022-01-03T10:22:00+00:00,750,1449
summary,2022-01-04,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.7259,2022-01-03T14:41:00+00:00,902,1527
summary,2022-01-04,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8984,2022-01-03T14:35:00+00:00,543,1357
summary,2022-01-04,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5309,2022-01-03T11:01:00+00:00,376,1154
summary,2022-01-05,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7454,2022-01-03T10:30:00+00:00,991,2336
summary,2022-01-05,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.7304,2022-01-03T10:22:00+00:00,750,2270
summary,2022-01-05,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.7259,2022-01-03T14:41:00+00:00,902,2311
summary,2022-01-05,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8984,2022-01-03T14:35:00+00:00,543,2135
summary,2022-01-05,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5309,2022-01-03T11:01:00+00:00,376,1745
summary,2022-01-06,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4812,2022-01-03T14:37:00+00:00,1028,2996
summary,2022-01-06,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6862,2022-01-03T14:37:00+00:00,659,2922
