date,sma50,sma20,ret20,lowvol,sma50_lowvol,rv20
2022-01-04,,,,,,
2022-01-05,,,,,,
2022-01-06,,,,,,
2022-01-07,,,,,,
2022-01-10,,,,,,
2022-01-11,,,,,,
2022-01-12,,,,,,
2022-01-13,,,,,,
2022-01-14,,,,,,
2022-01-18,,,,,,
2022-01-19,,,,,,
2022-01-20,,,,,,
2022-01-21,,,,,,
2022-01-24,,,,,,
2022-01-25,,,,,,
2022-01-26,,,,,,
2022-01-27,,,,,,
2022-01-28,,,,,,
2022-01-31,,,,,,
2022-02-01,,,,,,
2022-02-02,,0,0,,,0.181
2022-02-03,,1,0,,,0.186
2022-02-04,,0,0,,,0.192
2022-02-07,,0,0,,,0.194
2022-02-08,,0,0,,,0.193
2022-02-09,,1,0,,,0.196
2022-02-10,,1,0,,,0.201
2022-02-11,,1,0,,,0.208
2022-02-14,,0,0,,,0.214
2022-02-15,,0,0,,,0.214
2022-02-16,,1,0,,,0.216
2022-02-17,,1,0,,,0.214
2022-02-18,,0,0,,,0.223
2022-02-22,,0,0,,,0.214
2022-02-23,,0,0,,,0.216
2022-02-24,,0,0,,,0.220
2022-02-25,,0,0,,,0.227
2022-02-28,,0,1,,,0.239
2022-03-01,,0,0,,,0.223
2022-03-02,,0,0,,,0.218
2022-03-03,,0,0,,,0.227
2022-03-04,,0,0,,,0.224
2022-03-07,,0,0,,,0.211
2022-03-08,,0,0,,,0.231
2022-03-09,,0,0,,,0.231
2022-03-10,,0,0,,,0.251
2022-03-11,,0,0,,,0.243
2022-03-14,,0,0,,,0.240
2022-03-15,,0,0,,,0.233
2022-03-16,,0,0,,,0.248
2022-03-17,0,1,0,,,0.254
2022-03-18,0,1,0,,,0.258
2022-03-21,1,1,1,,,0.247
2022-03-22,1,1,1,,,0.246
2022-03-23,1,1,1,,,0.244
2022-03-24,1,1,1,,,0.240
2022-03-25,1,1,1,,,0.240
2022-03-28,1,1,1,,,0.230
2022-03-29,1,1,1,,,0.230
2022-03-30,1,1,1,,,0.224
2022-03-31,1,1,1,,,0.220
2022-04-01,1,1,1,,,0.227
2022-04-04,1,1,1,,,0.224
2022-04-05,1,1,1,,,0.191
2022-04-06,1,1,1,,,0.195
2022-04-07,1,1,1,,,0.183
2022-04-08,1,1,1,,,0.182
2022-04-11,1,1,1,,,0.174
2022-04-12,0,0,1,,,0.184
2022-04-13,0,0,1,,,0.172
2022-04-14,1,0,1,,,0.159
2022-04-18,0,0,0,,,0.159
2022-04-19,0,0,0,,,0.157
2022-04-20,1,0,1,,,0.167
2022-04-21,1,0,0,,,0.161
2022-04-22,0,0,0,,,0.164
2022-04-25,0,0,0,,,0.178
2022-04-26,0,0,0,,,0.179
2022-04-27,0,0,0,,,0.197
2022-04-28,0,0,0,,,0.189
2022-04-29,0,0,0,,,0.216
2022-05-02,0,0,0,,,0.244
2022-05-03,0,0,0,,,0.246
2022-05-04,0,0,0,,,0.243
2022-05-05,0,0,0,,,0.269
2022-05-06,0,0,0,,,0.292
2022-05-09,0,0,0,,,0.290
2022-05-10,0,0,0,,,0.306
2022-05-11,0,0,0,,,0.304
2022-05-12,0,0,0,,,0.307
2022-05-13,0,0,0,,,0.301
2022-05-16,0,0,0,,,0.317
2022-05-17,0,0,0,,,0.316
2022-05-18,0,0,0,,,0.320
2022-05-19,0,0,0,,,0.344
2022-05-20,0,0,0,,,0.342
2022-05-23,0,0,0,,,0.333
2022-05-24,0,0,0,,,0.341
2022-05-25,0,0,0,,,0.329
2022-05-26,0,0,0,,,0.331
2022-05-27,0,1,0,,,0.325
2022-05-31,0,1,1,,,0.312
2022-06-01,0,1,0,,,0.312
